query_idx,query_label,ap__MiewID,rank1__MiewID,first_pos_rank__MiewID,top1_idx__MiewID,top1_label__MiewID,top1_sim__MiewID,ap__score_fusion,rank1__score_fusion,first_pos_rank__score_fusion,top1_idx__score_fusion,top1_label__score_fusion,top1_sim__score_fusion,ap__embedding_concat,rank1__embedding_concat,first_pos_rank__embedding_concat,top1_idx__embedding_concat,top1_label__embedding_concat,top1_sim__embedding_concat,oracle_ap,oracle_rank1,best_model,best_model_ap,score_fusion_delta_vs_best_model,score_fusion_delta_vs_oracle,score_fusion_beats_best_model,score_fusion_matches_best_model
30,Kamaikua,1.0,True,1,597,Kamaikua,0.8212546110153198,1.0,True,1,597,Kamaikua,0.783638573316097,1.0,True,1,597,Kamaikua,0.8212537680228432,1.0,True,MiewID,1.0,0.0,0.0,False,True
102,Tomas,1.0,True,1,103,Tomas,0.7276588678359985,1.0,True,1,103,Tomas,0.6808548369892226,1.0,True,1,103,Tomas,0.7276589486115279,1.0,True,MiewID,1.0,0.0,0.0,False,True
117,Bororo,0.12907242133526972,False,16,1393,Ousado,0.424236536026001,0.12907242133526972,False,16,1393,Ousado,0.39730720744254217,0.12907242133526972,False,16,1393,Ousado,0.4242365909461994,0.12907242133526972,False,MiewID,0.12907242133526972,0.0,0.0,False,True
181,Akaloi,1.0,True,1,183,Akaloi,0.7638585567474365,1.0,True,1,183,Akaloi,0.7197516043675187,1.0,True,1,183,Akaloi,0.7638597802962787,1.0,True,MiewID,1.0,0.0,0.0,False,True
182,Akaloi,1.0,True,1,183,Akaloi,0.9135526418685913,1.0,True,1,183,Akaloi,0.8920703453150134,1.0,True,1,183,Akaloi,0.9135524967495363,1.0,True,MiewID,1.0,0.0,0.0,False,True
212,Alira,0.014015367664351963,False,340,1723,Solar,0.4474776089191437,0.014015367664351963,False,340,1723,Solar,0.4163415301050641,0.014015367664351963,False,340,1723,Solar,0.447477681927667,0.014015367664351963,False,MiewID,0.014015367664351963,0.0,0.0,False,True
213,Alira,0.013586106445366005,False,332,1244,Medrosa,0.4539766013622284,0.013586106445366005,False,332,1244,Medrosa,0.4217438512964301,0.013586106445366005,False,332,1244,Medrosa,0.453976329860125,0.013586106445366005,False,MiewID,0.013586106445366005,0.0,0.0,False,True
251,Ariely,1.0,True,1,252,Ariely,0.8419498205184937,1.0,True,1,252,Ariely,0.8073404369532653,1.0,True,1,252,Ariely,0.8419495407110904,1.0,True,MiewID,1.0,0.0,0.0,False,True
304,Bagua,1.0,True,1,280,Bagua,0.6918396949768066,1.0,True,1,280,Bagua,0.6434303855418979,1.0,True,1,280,Bagua,0.6918399279762734,1.0,True,MiewID,1.0,0.0,0.0,False,True
352,Benita,1.0,True,1,336,Benita,0.7570051550865173,1.0,True,1,336,Benita,0.7123046746901541,1.0,True,1,336,Benita,0.7570052962761544,1.0,True,MiewID,1.0,0.0,0.0,False,True
353,Benita,1.0,True,1,336,Benita,0.7675256133079529,1.0,True,1,336,Benita,0.7237521445967534,1.0,True,1,336,Benita,0.7675256128924166,1.0,True,MiewID,1.0,0.0,0.0,False,True
360,Benita,1.0,True,1,338,Benita,0.7750128507614136,1.0,True,1,338,Benita,0.7319547031251021,1.0,True,1,338,Benita,0.7750131845619056,1.0,True,MiewID,1.0,0.0,0.0,False,True
424,Estella,1.0,True,1,427,Estella,0.9150437712669373,1.0,True,1,427,Estella,0.8938797780053539,1.0,True,1,427,Estella,0.9150439578487319,1.0,True,MiewID,1.0,0.0,0.0,False,True
500,Jaju,0.9915649602041382,True,1,499,Jaju,0.8189182877540588,0.9915649602041382,True,1,499,Jaju,0.7809850054182432,0.9915649602041382,True,1,499,Jaju,0.8189180534659782,0.9915649602041382,True,MiewID,0.9915649602041382,0.0,0.0,False,True
536,Jaju,0.9972628674111154,True,1,540,Jaju,0.9551095962524414,0.9972628674111154,True,1,540,Jaju,0.9431846299021265,0.9972628674111154,True,1,540,Jaju,0.9551090207845905,0.9972628674111154,True,MiewID,0.9972628674111154,0.0,0.0,False,True
