run_name,gallery_protocol,case_type,best_single_name,best_fusion_name,query_idx,query_label,best_model,best_model_ap,oracle_ap,ap__EVA-02,rank1__EVA-02,ap__score_fusion,rank1__score_fusion,delta_ap__fusion_vs_best_single,delta_rank1__fusion_vs_best_single,oracle_gap__fusion,top1_label__EVA-02,top1_label__score_fusion,first_pos_rank__score_fusion,ap__embedding_concat,rank1__embedding_concat,top1_label__embedding_concat,first_pos_rank__embedding_concat
eva_miew_megadescriptor_evaheavy_globalminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,score_fusion,13,Benita,MegaDescriptor-L,0.7117418218652436,0.7117418218652436,0.2179839834750981,False,0.9726505474249406,True,0.7546665639498426,1.0,-0.260908725559697,Saseka,Benita,1.0,,,,
eva_miew_dinov2base_equal_globalminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,embedding_concat,596,Kamaikua,DINOv2-Base,0.9193440531850549,0.9193440531850549,0.2070731431761118,False,,,0.7476524344061606,1.0,-0.035381524397217534,Medrosa,,,0.9547255775822724,True,Kamaikua,1.0
eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,score_fusion,13,Benita,ConvNeXt-V2,0.5625432458155489,0.5625432458155489,0.2179839834750981,False,0.963311092390746,True,0.7453271089156479,1.0,-0.40076784657519704,Saseka,Benita,1.0,,,,
eva_convnext_megadescriptor_weighted_globalminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,score_fusion,13,Benita,MegaDescriptor-L,0.7117418218652436,0.7117418218652436,0.2179839834750981,False,0.959802631907884,True,0.7418186484327859,1.0,-0.24806081004264036,Saseka,Benita,1.0,,,,
eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,score_fusion,596,Kamaikua,MiewID,0.9102808782896408,0.9102808782896408,0.2070731431761118,False,0.9425124031458708,True,0.735439259969759,1.0,-0.03223152485623004,Medrosa,Kamaikua,1.0,,,,
eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,score_fusion,1104,Marcela,MiewID,0.8305300158065756,0.8305300158065756,0.1764920286312305,True,0.8952377850705322,True,0.7187457564393017,0.0,-0.0647077692639566,Marcela,Marcela,1.0,,,,
eva_miew_convnext_equal_globalminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,score_fusion,596,Kamaikua,MiewID,0.9102808782896408,0.9102808782896408,0.2070731431761118,False,0.9166503544270436,True,0.7095772112509318,1.0,-0.006369476137402796,Medrosa,Kamaikua,1.0,,,,
eva_miew_convnext_equal_rowminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,score_fusion,596,Kamaikua,MiewID,0.9102808782896408,0.9102808782896408,0.2070731431761118,False,0.9166503544270436,True,0.7095772112509318,1.0,-0.006369476137402796,Medrosa,Kamaikua,1.0,,,,
eva_miew_dinosmall_weighted_globalminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,score_fusion,596,Kamaikua,DINO-Small,0.9784259230198642,0.9784259230198642,0.2070731431761118,False,0.9156296007583896,True,0.7085564575822778,1.0,0.06279632226147458,Medrosa,Kamaikua,1.0,,,,
eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,score_fusion,1103,Marcela,MiewID,0.7704812271929614,0.7704812271929614,0.1888623358281839,True,0.8849262997351669,True,0.696063963906983,0.0,-0.11444507254220548,Marcela,Marcela,1.0,,,,
eva_miew_convnext_weighted_globalminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,score_fusion,13,Benita,ConvNeXt-V2,0.5625432458155489,0.5625432458155489,0.2179839834750981,False,0.9054811511000042,True,0.6874971676249061,1.0,-0.3429379052844552,Saseka,Benita,1.0,,,,
eva_miew_convnext_weighted_globalminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,score_fusion,596,Kamaikua,MiewID,0.9102808782896408,0.9102808782896408,0.2070731431761118,False,0.8906636069096244,True,0.6835904637335126,1.0,0.019617271380016343,Medrosa,Kamaikua,1.0,,,,
eva_miew_convnext_equal_globalminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,score_fusion,13,Benita,ConvNeXt-V2,0.5625432458155489,0.5625432458155489,0.2179839834750981,False,0.8894486245110111,True,0.6714646410359131,1.0,-0.3269053786954622,Saseka,Benita,1.0,,,,
eva_miew_convnext_equal_rowminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,score_fusion,13,Benita,ConvNeXt-V2,0.5625432458155489,0.5625432458155489,0.2179839834750981,False,0.8894486245110111,True,0.6714646410359131,1.0,-0.3269053786954622,Saseka,Benita,1.0,,,,
eva_miew_efficientnet_weighted_globalminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,embedding_concat,13,Benita,MiewID,0.5608783954774489,0.5608783954774489,0.2179839834750981,False,,,0.6673172320698502,1.0,-0.32442282006749934,Saseka,,,0.8853012155449482,True,Benita,1.0
eva_miew_efficientnet_weighted_globalminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,embedding_concat,596,Kamaikua,MiewID,0.9102808782896408,0.9102808782896408,0.2070731431761118,False,,,0.6584825241830132,1.0,0.044725210930515735,Medrosa,,,0.865555667359125,True,Kamaikua,1.0
eva_miew_convnext_equal_globalminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,score_fusion,1103,Marcela,MiewID,0.7704812271929614,0.7704812271929614,0.1888623358281839,True,0.8283492991786162,True,0.6394869633504323,0.0,-0.0578680719856548,Marcela,Marcela,1.0,,,,
eva_miew_convnext_equal_rowminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,score_fusion,1103,Marcela,MiewID,0.7704812271929614,0.7704812271929614,0.1888623358281839,True,0.8283492991786162,True,0.6394869633504323,0.0,-0.0578680719856548,Marcela,Marcela,1.0,,,,
eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,score_fusion,1101,Marcela,MiewID,0.7007907006894395,0.7007907006894395,0.2643570572362984,True,0.9020436644465928,True,0.6376866072102945,0.0,-0.2012529637571533,Marcela,Marcela,1.0,,,,
eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,score_fusion,1473,Overa,MiewID,0.827217238910853,0.827217238910853,0.1421867582074003,True,0.7731706993985298,True,0.6309839411911295,0.0,0.05404653951232319,Overa,Overa,1.0,,,,
eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,score_fusion,1100,Marcela,MiewID,0.7408503726096864,0.7408503726096864,0.2945470456532656,True,0.9209492888663848,True,0.6264022432131192,0.0,-0.18009891625669838,Marcela,Marcela,1.0,,,,
eva_miew_convnext_miewheavy_globalminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,score_fusion,1102,Marcela,MiewID,0.7645037039462662,0.7645037039462662,0.2696536401487618,True,0.8907134965676048,True,0.621059856418843,0.0,-0.12620979262133858,Marcela,Marcela,1.0,,,,
eva_miew_dinosmall_weighted_globalminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,score_fusion,13,Benita,DINO-Small,0.5990244791751995,0.5990244791751995,0.2179839834750981,False,0.8332039998369952,True,0.6152200163618972,1.0,-0.2341795206617957,Saseka,Benita,1.0,,,,
eva_miew_convnext_equal_globalminmax_sq,trainval_gallery,model_disagreement_gain,EVA-02,score_fusion,1104,Marcela,MiewID,0.8305300158065756,0.8305300158065756,0.1764920286312305,True,0.7859392678634891,True,0.6094472392322586,0.0,0.044590747943086484,Marcela,Marcela,1.0,,,,
